INDV,Latitude,Longitude
JLB_161,37.37,-120.41
JLB_162,37.37,-120.41
JLB_164,37.37,-120.41
JLB_165,37.37,-120.41
JLB_166,37.37,-120.41
MSB_40606,37.09,-119.72
MSB_47792,33.37,-116.83
MSB_47794,33.37,-116.83
MSB_47795,33.37,-116.83
MSB_47797,32.05,-115.91
MSB_47800,32.05,-115.91
MSB_47801,32.05,-115.91
MVZ_198740,34.22,-116.97
MVZ_198741,34.22,-116.97
MVZ_198742,34.22,-116.97
MVZ_198743,34.22,-116.97
MVZ_198744,34.22,-116.97
MVZ_198745,34.22,-116.97
MVZ_198746,34.22,-116.97
MVZ_198747,34.22,-116.97
MVZ_198748,34.22,-116.97
MVZ_198750,34.22,-116.97
MVZ_198753,34.22,-116.97
MVZ_198757,34.22,-116.97
MVZ_198758,34.22,-116.97
MVZ_198759,34.22,-116.97
MVZ_198760,34.22,-116.97
MVZ_200045,34.79,-119
MVZ_200046,34.79,-119
MVZ_206952,34.79,-119
MVZ_208660,37.89,-122.23
MVZ_208661,34.79,-119
MVZ_208662,34.79,-119
MVZ_208671,34.79,-119
MVZ_208693,34.79,-119
MVZ_208694,34.79,-119
MVZ_208695,34.79,-119
MVZ_208697,34.79,-119
MVZ_232439,37.89,-122.23
MVZ_239610,34.81,-118.89
MVZ_239611,34.81,-118.89
MVZ_239612,34.81,-118.89
MVZ_239613,34.81,-118.89
MVZ_239617,34.81,-118.89