INDV,Latitude,Longitude,GRP,POP
BM_78895,42.08,-113.74,0.5,North
BM_78900,42.08,-113.74,0.5,North
BM_78904,42.08,-113.74,0.5,North
BM_78907,42.08,-113.74,0.5,North
BM_79650,42.08,-113.74,0.5,North
BM_79651,42.08,-113.74,0.5,North
BM_79669,42.08,-113.74,0.5,North
BM_79675,42.08,-113.74,0.5,North
BM_79676,42.08,-113.74,0.5,North
BM_80111,42.08,-113.74,0.5,North
BM_80112,45.05,-123.93,0.5,North
BM_80113,45.05,-123.93,0.5,North
BM_80114,45.05,-123.93,0.5,North
BM_80115,45.05,-123.93,0.5,North
BM_80116,45.05,-123.93,0.5,North
BM_80117,45.05,-123.93,0.5,North
BM_80118,45.05,-123.93,0.5,North
BM_80119,45.05,-123.93,0.5,North
BM_80159,45.05,-123.93,0.5,North
BM_80265,44.81,-117.68,0.5,North
BM_80266,44.81,-117.68,0.5,North
BM_80267,44.81,-117.68,0.5,North
BM_80268,44.81,-117.68,0.5,North
BM_80269,44.81,-117.68,0.5,North
BM_80270,44.81,-117.68,0.5,North
BM_80271,44.81,-117.68,0.5,North
BM_80272,44.81,-117.68,0.5,North
BM_80273,44.81,-117.68,0.5,North
BM_80274,44.81,-117.68,0.5,North
DP_1,46.28,-113.99,0.5,North
DP_10,46.28,-113.99,0.5,North
DP_11,46.28,-113.99,0.5,North
DP_2,46.28,-113.99,0.5,North
DP_3,46.28,-113.99,0.5,North
DP_5,46.28,-113.99,0.5,North
DP_6,46.28,-113.99,0.5,North
DP_7,46.28,-113.99,0.5,North
DP_8,46.28,-113.99,0.5,North
DP_9,46.28,-113.99,0.5,North
FMNH_186230,38.52,-109.28,0.5,North
FMNH_186231,38.52,-109.28,0.5,North
FMNH_186232,38.52,-109.28,0.5,North
FMNH_186233,38.52,-109.28,0.5,North
FMNH_186234,38.52,-109.28,0.5,North
FMNH_186235,38.52,-109.28,0.5,North
FMNH_186236,38.52,-109.28,0.5,North
FMNH_186237,38.52,-109.28,0.5,North
FMNH_186239,38.52,-109.28,0.5,North
FMNH_186240,38.52,-109.28,0.5,North
FMNH_186475,41.16,-112.93,0.5,North
FMNH_186476,41.16,-112.93,0.5,North
FMNH_186477,41.16,-112.93,0.5,North
FMNH_186478,41.16,-112.93,0.5,North
FMNH_186479,41.16,-112.93,0.5,North
FMNH_186480,41.16,-112.93,0.5,North
FMNH_186481,41.16,-112.93,0.5,North
FMNH_186482,41.16,-112.93,0.5,North
FMNH_186483,41.16,-112.93,0.5,North
FMNH_186485,41.16,-112.93,0.5,North
FMNH_219725,41.69,-118.74,0.15,North
FMNH_219726,41.69,-118.74,0.15,North
FMNH_219727,41.69,-118.74,0.15,North
FMNH_219728,41.69,-118.74,0.15,North
FMNH_219729,41.69,-118.74,0.15,North
FMNH_219730,41.69,-118.74,0.15,North
FMNH_219731,41.69,-118.74,0.15,North
FMNH_219732,41.69,-118.74,0.15,North
FMNH_219733,41.69,-118.74,0.15,North
FMNH_219734,41.69,-118.74,0.15,North
FMNH_219735,41.69,-118.74,0.15,North
FMNH_219736,41.69,-118.74,0.15,North
JLB_161,37.37,-120.41,1.5,South
JLB_162,37.37,-120.41,1.5,South
JLB_164,37.37,-120.41,1.5,South
JLB_165,37.37,-120.41,1.5,South
JLB_166,37.37,-120.41,1.5,South
MSB_123069,34.82,-109.9,1.5,North
MSB_123100,34.82,-109.9,1.5,North
MSB_124063,34.05,-109.54,1.5,North
MSB_124516,35.86,-106.42,1.5,North
MSB_124517,35.86,-106.42,1.5,North
MSB_40606,37.09,-119.72,1.5,South
MSB_40697,40.99,-124.05,1.5,North
MSB_43431,47.22,-120.99,1.5,North
MSB_43437,47.22,-120.99,1.5,North
MSB_43442,47.22,-120.99,1.5,North
MSB_43631,41,-124.09,1.5,North
MSB_43633,41,-124.09,1.5,North
MSB_46243,31.53,-108.87,1.5,North
MSB_47792,33.37,-116.83,1.5,South
MSB_47794,33.37,-116.83,1.5,South
MSB_47795,33.37,-116.83,1.5,South
MSB_47797,32.05,-115.91,1.5,South
MSB_47800,32.05,-115.91,1.5,South
MSB_47801,32.05,-115.91,1.5,South
MSB_53334,38.47,-119.26,1.5,North
MSB_53335,38.47,-119.26,1.5,North
MSB_53338,38.47,-119.26,1.5,North
MSB_53342,44.33,-123.5,1.5,North
MSB_53344,44.33,-123.5,1.5,North
MSB_55813,35.52,-105.18,1.5,North
MVZ_198740,34.22,-116.97,0.15,South
MVZ_198741,34.22,-116.97,0.15,South
MVZ_198742,34.22,-116.97,0.15,South
MVZ_198743,34.22,-116.97,0.15,South
MVZ_198744,34.22,-116.97,0.15,South
MVZ_198745,34.22,-116.97,0.15,South
MVZ_198746,34.22,-116.97,0.15,South
MVZ_198747,34.22,-116.97,0.15,South
MVZ_198748,34.22,-116.97,0.15,South
MVZ_198750,34.22,-116.97,0.15,South
MVZ_198753,34.22,-116.97,0.15,South
MVZ_198757,34.22,-116.97,0.15,South
MVZ_198758,34.22,-116.97,0.15,South
MVZ_198759,34.22,-116.97,0.15,South
MVZ_198760,34.22,-116.97,0.15,South
MVZ_200045,34.79,-119,0.5,South
MVZ_200046,34.79,-119,0.5,South
MVZ_206952,34.79,-119,0.5,South
MVZ_208660,37.89,-122.23,1.5,South
MVZ_208661,34.79,-119,0.5,South
MVZ_208662,34.79,-119,0.5,South
MVZ_208671,34.79,-119,0.5,South
MVZ_208693,34.79,-119,0.5,South
MVZ_208694,34.79,-119,0.5,South
MVZ_208695,34.79,-119,0.5,South
MVZ_208697,34.79,-119,0.5,South
MVZ_217208,38.12,-119.48,0.15,North
MVZ_217209,38.12,-119.48,0.15,North
MVZ_217210,38.12,-119.48,0.15,North
MVZ_217211,38.12,-119.48,0.15,North
MVZ_217212,38.12,-119.48,0.15,North
MVZ_217213,38.12,-119.48,0.15,North
MVZ_217214,38.12,-119.48,0.15,North
MVZ_217215,38.12,-119.48,0.15,North
MVZ_217216,38.12,-119.48,0.15,North
MVZ_217217,38.12,-119.48,0.15,North
MVZ_217218,38.12,-119.48,0.15,North
MVZ_217219,38.12,-119.48,0.15,North
MVZ_217220,38.12,-119.48,0.15,North
MVZ_217223,38.12,-119.48,0.15,North
MVZ_227135,37.89,-122.23,1.5,North
MVZ_227136,38.5,-117.25,1.5,North
MVZ_227139,38.5,-117.25,1.5,North
MVZ_227141,38.5,-117.25,1.5,North
MVZ_227142,38.5,-117.25,1.5,North
MVZ_227143,38.5,-117.25,1.5,North
MVZ_232439,37.89,-122.23,1.5,South
MVZ_239610,34.81,-118.89,1.5,South
MVZ_239611,34.81,-118.89,1.5,South
MVZ_239612,34.81,-118.89,1.5,South
MVZ_239613,34.81,-118.89,1.5,South
MVZ_239617,34.81,-118.89,1.5,South
RAB_11,47.24,-121.19,0.5,PNW
RAB_2,47.24,-121.19,0.5,North
RAB_3,47.24,-121.19,0.5,North
RAB_4,47.24,-121.19,0.5,North
RAB_5,47.24,-121.19,0.5,PNW
RAB_7,47.24,-121.19,0.5,North
RAB_8,47.24,-121.19,0.5,PNW
UAM_35336,59.56,-133.67,0.5,North
UAM_35337,59.56,-133.67,0.5,North
UAM_35338,59.56,-133.67,0.5,North
UAM_35339,59.56,-133.67,0.5,North
UAM_35342,59.56,-133.67,0.5,North
UAM_35343,59.56,-133.67,0.5,North
UAM_71527,56.72,-129.78,0.5,PNW
UAM_71528,56.72,-129.78,0.5,PNW
UAM_71531,56.72,-129.78,0.5,PNW
UAM_71532,56.72,-129.78,0.5,PNW
UAM_71533,56.72,-129.78,0.5,PNW
UAM_71542,56.72,-129.78,0.5,PNW
UAM_71546,56.72,-129.78,0.5,PNW
UAM_71547,56.72,-129.78,0.5,PNW
UAM_71548,56.72,-129.78,0.5,PNW
UAM_71549,56.72,-129.78,0.5,PNW
UAM_71580,60.63,-135.17,1.5,PNW
UAM_71581,60.63,-135.17,1.5,PNW
UAM_71620,60.63,-135.17,1.5,PNW
UAM_71622,60.63,-135.17,1.5,PNW